,from_iso3,to_iso3,sector,trade_value
420,CHN,ARG,Water Transport,14266179.279505815
421,CHN,ARM,Water Transport,1204564.3918008336
422,CHN,ASM,Water Transport,3.159229752368641
423,CHN,ATG,Water Transport,169792.7265200784
424,CHN,AUS,Water Transport,28392797.57853772
425,CHN,AUT,Water Transport,102107094.36744484
426,CHN,AZE,Water Transport,2264050.3891872247
427,CHN,BDI,Water Transport,270574.29716508463
428,CHN,BEL,Water Transport,136340606.2569157
429,CHN,BEN,Water Transport,742966.6034240628
430,CHN,BFA,Water Transport,1987976.6036185268
431,CHN,BGD,Water Transport,8397958.676098814
432,CHN,BGR,Water Transport,4962315.678601913
433,CHN,BHR,Water Transport,40796.13843682916
434,CHN,BHS,Water Transport,849921.0504424763
435,CHN,BIH,Water Transport,431993.5614801588
436,CHN,BLR,Water Transport,415860.7775035769
437,CHN,BLZ,Water Transport,233340.80509694532
438,CHN,BMU,Water Transport,1364509.695663865
439,CHN,BOL,Water Transport,1475681.883727208
440,CHN,BRA,Water Transport,45532210.62910473
441,CHN,BRB,Water Transport,379442.64465767134
442,CHN,BRN,Water Transport,1167.2566965362325
443,CHN,BTN,Water Transport,11865.350672323568
444,CHN,BWA,Water Transport,78030.96194772277
445,CHN,CAF,Water Transport,227892.65051835487
446,CHN,CAN,Water Transport,88907178.2124757
447,CHN,CHE,Water Transport,443503.2365411726
448,CHN,CHL,Water Transport,28989250.06328129
449,CHN,CIV,Water Transport,3892309.747492082
450,CHN,CMR,Water Transport,1474835.3404460438
451,CHN,COD,Water Transport,3770964.0094200713
452,CHN,COG,Water Transport,62724.667778641306
453,CHN,COK,Water Transport,384.5083678200552
454,CHN,COL,Water Transport,6905435.770269146
455,CHN,COM,Water Transport,137656.72342606148
456,CHN,CRI,Water Transport,1593064.098398386
457,CHN,CUB,Water Transport,6475.126913531198
458,CHN,CYM,Water Transport,3467.9969973675543
459,CHN,CYP,Water Transport,11251992.894123372
460,CHN,CZE,Water Transport,28078478.652189355
461,CHN,DEU,Water Transport,488522391.329468
462,CHN,DJI,Water Transport,165712.06120536654
463,CHN,DMA,Water Transport,82942.40836369577
464,CHN,DNK,Water Transport,196600135.5602933
465,CHN,DOM,Water Transport,2859438.627449398
466,CHN,DZA,Water Transport,7328052.533659242
467,CHN,ECU,Water Transport,4322757.444446676
468,CHN,EGY,Water Transport,18095356.698263053
469,CHN,ESH,Water Transport,20180.595486202823
470,CHN,ESP,Water Transport,136851779.59959066
471,CHN,EST,Water Transport,6487933.91955276
472,CHN,ETH,Water Transport,3914215.1650227914
473,CHN,EUX,Water Transport,18863.797399854342
474,CHN,FIN,Water Transport,31758276.51633564
475,CHN,FJI,Water Transport,7.1190209520575145
476,CHN,FRA,Water Transport,285662181.23793656
477,CHN,FRO,Water Transport,175275.05098602345
478,CHN,GAB,Water Transport,134.90054432526546
479,CHN,GBR,Water Transport,223792954.70481092
480,CHN,GEO,Water Transport,1365958.2649448854
481,CHN,GHA,Water Transport,28.308807023854985
482,CHN,GIB,Water Transport,740830.6452462609
483,CHN,GIN,Water Transport,544856.6571790706
484,CHN,GMB,Water Transport,81919.4296675372
485,CHN,GNB,Water Transport,66732.77862462014
486,CHN,GNQ,Water Transport,3163.9829085810525
487,CHN,GRC,Water Transport,55574494.92242567
488,CHN,GRD,Water Transport,110925.85565277588
489,CHN,GTM,Water Transport,2717352.4347903514
490,CHN,GUF,Water Transport,49.86421170325263
491,CHN,GUY,Water Transport,251893.59448547446
492,CHN,HKG,Water Transport,72635742.99860583
493,CHN,HND,Water Transport,1404496.5738194392
494,CHN,HRV,Water Transport,4780062.559190059
495,CHN,HTI,Water Transport,21818.926316038458
496,CHN,HUN,Water Transport,21471589.77758808
497,CHN,IDN,Water Transport,25686636.60638757
498,CHN,IND,Water Transport,54457309.83269599
499,CHN,IRL,Water Transport,13478342.969367232
500,CHN,IRN,Water Transport,12971040.304611927
501,CHN,IRQ,Water Transport,11762590.02460396
502,CHN,ISL,Water Transport,4183638.813027681
503,CHN,ISR,Water Transport,20048460.19297592
504,CHN,ITA,Water Transport,199170921.68945813
505,CHN,JAM,Water Transport,1733190.3925931545
506,CHN,JOR,Water Transport,5104924.629431917
507,CHN,JPN,Water Transport,218188327.68113643
508,CHN,KAZ,Water Transport,5110878.722827175
509,CHN,KEN,Water Transport,2234097.2049620138
510,CHN,KGZ,Water Transport,145284.31554558285
511,CHN,KHM,Water Transport,1475097.6209493026
512,CHN,KNA,Water Transport,185094.4479798309
513,CHN,KOR,Water Transport,99602394.78294148
514,CHN,KWT,Water Transport,13146805.48222514
515,CHN,LAO,Water Transport,29.443926277588925
516,CHN,LBN,Water Transport,4384880.829210465
517,CHN,LBY,Water Transport,5700627.4428880075
518,CHN,LCA,Water Transport,198858.47741683913
519,CHN,LKA,Water Transport,4966018.65820914
520,CHN,LSO,Water Transport,156497.78557409762
521,CHN,LTU,Water Transport,9248350.162797172
522,CHN,LUX,Water Transport,10607636.658729717
523,CHN,LVA,Water Transport,5064634.2062468985
524,CHN,MAC,Water Transport,850125.2844516019
525,CHN,MAR,Water Transport,8668079.439927464
526,CHN,MDA,Water Transport,733686.6538609337
527,CHN,MDG,Water Transport,996895.1274912702
528,CHN,MDV,Water Transport,385909.0453313023
529,CHN,MEX,Water Transport,39158258.55581546
530,CHN,MHL,Water Transport,40435.471683192845
531,CHN,MKD,Water Transport,759918.9731292926
532,CHN,MLI,Water Transport,1478068.6554583157
533,CHN,MLT,Water Transport,2387092.908702348
534,CHN,MMR,Water Transport,1081.8071370131163
535,CHN,MNE,Water Transport,370770.10958654975
536,CHN,MNG,Water Transport,719989.9938494848
537,CHN,MOZ,Water Transport,736259.6536930364
538,CHN,MRT,Water Transport,399.0858018008623
539,CHN,MSR,Water Transport,15414.239854234003
540,CHN,MUS,Water Transport,1272654.837951325
541,CHN,MWI,Water Transport,57708.597961473395
